id,objectName,ra,dec,epoch,magnitude,filter,exposureTimeSeconds,numberOfExposures,skyCondition,seeing,comment
1, CDFS,52.5,-28.1, J2000,<24.5, g,90,3, phot,<2,
2, CDFS,52.5,-28.1, J2000,<24.5, i,270,3, phot,<2,
3, 4hr,62.5,-55, J2000,<24.5, g,90,3, phot,<2,
4, 4hr,62.5,-55, J2000,<24.5, i,270,3, phot,<2,
5, 353A,60.01655,-11.395531, J2000,<24.5, g,90,3, phot,<2,
6, 353A,60.01655,-11.395531, J2000,<24.5, i,270,3, phot,<2,
7, 353B,60.017792,-8.2967111, J2000,<24.5, g,90,3, phot,<2,
8, 353B,60.017792,-8.2967111, J2000,<24.5, i,270,3, phot,<2,
9, 353C,63.211208,-11.395311, J2000,<24.5, g,90,3, phot,<2,
10, 353C,63.211208,-11.395311, J2000,<24.5, i,270,3, phot,<2,
11, 257A,85.666429,-24.290219, J2000,<24.5, g,90,3, phot,<2,
12, 257A,85.666429,-24.290219, J2000,<24.5, i,270,3, phot,<2,
13, S-CVZ,90,-66.560561, J2000,<24.5, g,90,3, phot,<2,
14, S-CVZ,90,-66.560561, J2000,<24.5, i,270,3, phot,<2,
15, Prime,88.779167,-61.35, J2000,<24.5, g,90,3, phot,<2,
16, Prime,88.779167,-61.35, J2000,<24.5, i,270,3, phot,<2,
17, 257D,90.567342,-22.690931, J2000,<24.5, g,90,3, phot,<2,
18, 257D,90.567342,-22.690931, J2000,<24.5, i,270,3, phot,<2,
19, 257C,91.565521,-25.789539, J2000,<24.5, g,90,3, phot,<2,
20, 257C,91.565521,-25.789539, J2000,<24.5, i,270,3, phot,<2,
21, 257E,94.965521,-25.789539, J2000,<24.5, g,90,3, phot,<2,
22, 257E,94.965521,-25.789539, J2000,<24.5, i,270,3, phot,<2,
23, FRB131104,101,-51.266667, J2000,<24.5, g,90,3, phot,<2,
24, FRB131104,101,-51.266667, J2000,<24.5, i,270,3, phot,<2,
25, KNTRAP1,99.2,-50.2, J2000,<24.5, g,90,3, phot,<2,
26, KNTRAP1,99.2,-50.2, J2000,<24.5, i,270,3, phot,<2,
27, 8hr,124,-78.75, J2000,<24.5, g,90,3, phot,<2,
28, 8hr,124,-78.75, J2000,<24.5, i,270,3, phot,<2,
29, KNTRAP3,133.5,-67.8, J2000,<24.5, g,90,3, phot,<2,
30, KNTRAP3,133.5,-67.8, J2000,<24.5, i,270,3, phot,<2,
31, KNTRAP4,138.5,-73.6, J2000,<24.5, g,90,3, phot,<2,
32, KNTRAP4,138.5,-73.6, J2000,<24.5, i,270,3, phot,<2,
33, KNTRAP5,157.5,-38.5, J2000,<24.5, g,90,3, phot,<2,
34, KNTRAP5,157.5,-38.5, J2000,<24.5, i,270,3, phot,<2,
35, Antlia,157.5,-35.3333, J2000,<24.5, g,90,3, phot,<2,
36, Antlia,157.5,-35.3333, J2000,<24.5, i,270,3, phot,<2,
37, KNTRAP6,160.75,-37.3, J2000,<24.5, g,90,3, phot,<2,
38, KNTRAP6,160.75,-37.3, J2000,<24.5, i,270,3, phot,<2,
39, KNTRAP7,163.5,-40.3, J2000,<24.5, g,90,3, phot,<2,
40, KNTRAP7,163.5,-40.3, J2000,<24.5, i,270,3, phot,<2,
41, KNTRAP8,188.4,-40.3, J2000,<24.5, g,90,3, phot,<2,
42, KNTRAP8,188.4,-40.3, J2000,<24.5, i,270,3, phot,<2,
43, Centaurus,192.5,-41.333333, J2000,<24.5, g,90,3, phot,<2,
44, Centaurus,192.5,-41.333333, J2000,<24.5, i,270,3, phot,<2,
45, KNTRAP9,200.9,-45.15, J2000,<24.5, g,90,3, phot,<2,
46, KNTRAP9,200.9,-45.15, J2000,<24.5, i,270,3, phot,<2,
47, KNTRAP10,204.4,-45.3, J2000,<24.5, g,90,3, phot,<2,
48, KNTRAP10,204.4,-45.3, J2000,<24.5, i,270,3, phot,<2,
49, 14hr,218.5,-78.1, J2000,<24.5, g,90,3, phot,<2,
50, 14hr,218.5,-78.1, J2000,<24.5, i,270,3, phot,<2,
51, Polar,240,-75, J2000,<24.5, g,90,3, phot,<2,
52, Polar,240,-75, J2000,<24.5, i,270,3, phot,<2,
53, ngc6101,246.5,-73, J2000,<24.5, g,90,3, phot,<2,
54, ngc6101,246.5,-73, J2000,<24.5, i,270,3, phot,<2,
55, KNTRAP11,195.75,-45.3, J2000,<24.5, g,90,3, phot,<2,
56, KNTRAP11,195.75,-45.3, J2000,<24.5, i,270,3, phot,<2,
57, KNTRAP12,212,-39.8, J2000,<24.5, g,90,3, phot,<2,
58, KNTRAP12,212,-39.8, J2000,<24.5, i,270,3, phot,<2,
59, KNTRAP13,192,-46.1, J2000,<24.5, g,90,3, phot,<2,
60, KNTRAP13,192,-46.1, J2000,<24.5, i,270,3, phot,<2,
61, KNTRAP14,186.12,-45.9, J2000,<24.5, g,90,3, phot,<2,
62, KNTRAP14,186.12,-45.9, J2000,<24.5, i,270,3, phot,<2,
